Event_ID,ticker,gvkey,fiscal_month,cusip,name,fiscal_year,event_year,event_date,confound_dum,confound_type,breach_size,breach_type,event_state,hq_state,dif3,dif7
468,WMT,11259.0,1,"9,31E+08",Sam's Club,2010,2011,2011-11-06,1,Earnings,98,INSD,Minnesota,Arkansas,0.2237216032839147,0.2565715566253461
469,KO,3144.0,12,"1,91E+08",Coca-Cola Company Family Federal Credit Union,2012,2012,2012-02-22,1,Earnings,13800,PORT,Georgia,Georgia,0.0658745451663781,0.08507202064714041
470,CVS,7241.0,12,"1,27E+08",CVS Caremark,2012,2012,2012-03-24,1,M&A,3482,DISC,Rhode Island,Rhode Island,0.2939421552252576,0.29553697859753925
471,GPN,141913.0,5,37940X102,Global Payments Inc.,2011,2012,2012-03-30,1,Earnings,7000000,CARD,Georgia,Georgia,1.2683544623604317,1.6633195598574495
472,PCG,8264.0,12,69331C108,Pacific Gas and Electric (PG&E),2012,2012,2012-03-07,1,Investigation,100,PHYS,California,California,0.3222016506811632,0.5126407282500509
473,MCD,7154.0,12,"5,80E+08",McDonald's,2012,2012,2012-03-09,1,Earnings,282,INSD,Oklahoma,Illinois,1.3088244312911086,1.0785558218804943
474,SHLD,6307.0,1,"8,12E+08",Sears Portrait Studio,2011,2012,2012-05-23,1,Earnings,0,PHYS,Ohio,Illinois,,
475,GM,5073.0,12,37045V100,General Motors Co.,2012,2012,2012-08-03,1,Earnings,883,INSD,Michigan,Michigan,0.282395675974423,0.36661858443382955
476,FRC,14275.0,12,33616C100,First Republic Bank,2012,2012,2012-08-14,1,Statement,0,PHYS,California,California,,
477,VLY,11861.0,12,"9,20E+08","Valley National Bank, American Stock Transfer and Trust Company, LLC",2012,2012,2012-02-14,1,M&A,0,DISC,New York,New Jersey,0.1120331745698159,0.09322083164688247
478,INTC,6008.0,12,"4,58E+08","Intel, Inc.",2012,2012,2012-02-10,1,Investigation,0,HACK,California,California,0.0768759336527926,0.06416799212836961
479,LNC,6742.0,12,"5,34E+08","Lincoln Financial Securities Corporation, Red Boat Advisor Resources",2012,2012,2012-09-16,1,Earnings,4657,HACK,New Hampshire,Pennsylvania,0.1581460644834915,0.3415715239881659
480,RAD,9155.0,2,"7,68E+08",Rite Aid Corporation,2011,2012,2012-09-27,1,Earnings,0,DISC,Pennsylvania,Pennsylvania,,
481,EFX,4423.0,12,"2,94E+08",Equifax,2012,2012,2012-10-10,1,Earnings,17000,DISC,Georgia,Georgia,0.1729855072191443,0.5733552203563864
482,WAG,11264.0,8,"9,31E+08",Walgreens,2012,2012,2012-12-13,1,M&A,0,PHYS,California,Illinois,,
483,TWTR,18872.0,12,90184L102,Twitter,2013,2013,2013-02-02,1,Investigation,250000,HACK,California,California,,
484,AAL,1045.0,12,02376R102,"US Airways, McKesson, City of Houston, Automatic Data Processing (ADP), AlliedBarton Security Services",2013,2013,2013-07-30,1,Earnings,4500,DISC,Arizona,Arizona,0.0832617367337707,0.39459878528829756
485,AAL,1045.0,12,02376R102,US Airways Group,2013,2013,2013-08-08,1,Earnings,7700,HACK,Arizona,Arizona,0.1945096561300495,1.0885243594427674
486,RSG,112168.0,12,"7,61E+08",Republic Services,2013,2013,2013-08-29,1,Statement,82160,PORT,Arizona,Arizona,0.3943361850229522,0.4874621325255319
487,MUSA,18498.0,12,"6,27E+08",Murphy USA,2013,2013,2013-09-20,1,M&A,0,CARD,Arkansas,Arkansas,0.2242688859959638,0.26479316015040655
488,WAG,11264.0,8,"9,31E+08",Walgreens,2013,2013,2013-10-07,1,Earnings,0,STAT,California,Illinois,,
489,AAN,1076.0,12,2535300,Aaron's,2013,2013,2013-10-22,1,Earnings,0,DISC,Georgia,Georgia,,
490,DNB,4094.0,12,2.65E+104,Dun & Bradstreet,2013,2013,2013-10-28,1,Earnings,0,HACK,Georgia,New Jersey,,
